,number,value,datetime_start,datetime_complete,duration,params_attention_probs_dropout_prob,params_hidden_dropout_prob,params_learning_rate,params_per_device_train_batch_size,params_warmup_ratio,params_weight_decay,state
0,0,0.7408910030855345,2025-05-06 05:38:12.142106,2025-05-06 05:44:34.237598,0 days 00:06:22.095492,0.34044600469728353,0.4464704583099741,2.368863950364079e-05,8,0.05871254182522992,0.07969454818643935,COMPLETE
1,1,0.8247228211476997,2025-05-06 05:44:34.238873,2025-05-06 05:50:53.599505,0 days 00:06:19.360632,0.3099025726528951,0.2216968971838151,5.105903209394759e-05,8,0.07751067647801507,0.0010994335574766201,COMPLETE
2,2,0.7866776357418821,2025-05-06 05:50:53.600669,2025-05-06 05:57:17.000095,0 days 00:06:23.399426,0.1798695128633439,0.41407038455720546,2.703616066662e-05,8,0.1184104976325554,0.0038234752246751854,COMPLETE
3,3,0.5705395269860406,2025-05-06 05:57:17.001307,2025-05-06 06:01:55.692244,0 days 00:04:38.690937,0.4233589392465845,0.4862528132298237,3.267641765781762e-05,16,0.192332830588,0.015304852121831466,COMPLETE
4,4,0.7435602024061518,2025-05-06 06:01:55.693245,2025-05-06 06:08:13.983192,0 days 00:06:18.289947,0.20351199264000677,0.4637281608315128,2.0165721691808572e-05,8,0.05515827816728276,0.0015679933916723015,COMPLETE
5,5,0.41951919857777425,2025-05-06 06:08:13.984253,2025-05-06 06:12:02.752736,0 days 00:03:48.768483,0.4579309401710595,0.4757995766256756,4.5975057847321686e-05,32,0.1662699235041672,0.004201672054372531,COMPLETE
6,6,0.8170303417009869,2025-05-06 06:12:02.753785,2025-05-06 06:15:54.047261,0 days 00:03:51.293476,0.43149500366077176,0.20853961270955837,3.961867790406586e-05,32,0.10830159345342232,0.06978281265126034,COMPLETE
7,7,0.7811608633778016,2025-05-06 06:15:54.048286,2025-05-06 06:19:59.939841,0 days 00:04:05.891555,0.17948627261366898,0.40889790771866297,2.2738055735631803e-05,24,0.19803304049007764,0.0036464395589807202,COMPLETE
8,8,0.8046888675103994,2025-05-06 06:19:59.940819,2025-05-06 06:24:03.886354,0 days 00:04:03.945535,0.4452413703502375,0.1463476238100519,1.012796325733148e-05,24,0.1037698592816409,0.04274869455295218,COMPLETE
9,9,0.504833157498126,2025-05-06 06:24:03.887480,2025-05-06 06:27:53.720910,0 days 00:03:49.833430,0.28888597006477973,0.4548850970305306,4.2004723167022006e-05,32,0.14563362070328198,0.004589824181495649,COMPLETE
10,10,0.8048056417138372,2025-05-06 06:27:53.721821,2025-05-06 06:32:30.384091,0 days 00:04:36.662270,0.29671335876487964,0.2919884385410771,9.288338406672918e-05,16,0.08537422725799389,0.0010280029617905613,COMPLETE
11,11,0.8241011303125932,2025-05-06 06:32:30.385139,2025-05-06 06:36:21.148134,0 days 00:03:50.762995,0.3623646011031012,0.2079085005117408,7.327169449875371e-05,32,0.08618438339248478,0.018877457901429077,COMPLETE
12,12,0.7129027209464767,2025-05-06 06:36:21.149080,2025-05-06 06:42:46.892147,0 days 00:06:25.743067,0.3579072302663711,0.24937989204002747,7.62904672613948e-05,8,0.07999096688349955,0.017029437058373485,COMPLETE
13,13,0.8316735447249012,2025-05-06 06:42:46.893316,2025-05-06 06:46:36.867269,0 days 00:03:49.973953,0.24727497246201913,0.1200830393113325,6.229801415331804e-05,32,0.08269115363959155,0.02665262919639136,COMPLETE
14,14,0.8312642264936824,2025-05-06 06:46:36.868312,2025-05-06 06:50:27.697128,0 days 00:03:50.828816,0.10965592371923005,0.11940552246951587,5.904093948077807e-05,32,0.1363265218734974,0.03446511659889725,COMPLETE
